,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
0,1100015.0,Alta Floresta D'Oeste,11.0,RO,476.7809523809524,504.538202247191,495.7786516853933,514.5261904761904,631.4606741573034
1,1100023.0,Ariquemes,11.0,RO,486.08287841191066,505.11062355658197,502.95057736720554,520.2903225806451,627.9907621247113
2,1100031.0,Cabixi,11.0,RO,419.34999999999997,440.90714285714284,428.0571428571429,396.11428571428576,410.0
3,1100049.0,Cacoal,11.0,RO,484.0256619144603,508.6430528375734,501.3041095890411,528.2751527494909,600.1174168297456
4,1100056.0,Cerejeiras,11.0,RO,474.6611111111111,499.4703703703704,503.5962962962963,482.86851851851856,661.1111111111111
5,1100064.0,Colorado do Oeste,11.0,RO,476.75298507462685,509.28740740740744,506.4837037037037,499.62537313432836,619.1111111111111
6,1100072.0,Corumbiara,11.0,RO,455.25555555555553,462.77777777777777,449.2666666666667,467.44074074074075,533.3333333333334
7,1100080.0,Costa Marques,11.0,RO,447.7886363636364,477.6869565217391,476.05,488.16590909090905,584.7826086956521
8,1100098.0,Espigão D'Oeste,11.0,RO,476.26500000000004,492.8612403100775,498.1410852713178,512.2741666666667,563.1007751937984
9,1100106.0,Guajará-Mirim,11.0,RO,458.0635514018692,471.7092920353982,479.09823008849554,459.3929906542056,523.4513274336283
10,1100114.0,Jaru,11.0,RO,478.7847619047619,507.85675675675674,500.49594594594595,504.2214285714286,567.8378378378378
11,1100122.0,Ji-Paraná,11.0,RO,477.33248407643316,502.7344827586207,495.80628803245435,512.4029723991507,591.8052738336714
12,1100130.0,Machadinho D'Oeste,11.0,RO,473.3,494.99313725490197,486.1578431372549,484.9731958762887,599.8039215686274
13,1100148.0,Nova Brasilândia D'Oeste,11.0,RO,490.51403508771926,498.44,487.0316666666667,506.27543859649126,649.6666666666666
14,1100155.0,Ouro Preto do Oeste,11.0,RO,483.9106796116505,508.9392857142857,509.94464285714287,536.7533980582524,571.0714285714286
15,1100189.0,Pimenta Bueno,11.0,RO,468.98881118881116,477.3541401273886,480.4019108280255,488.15944055944055,523.5668789808917
16,1100205.0,Porto Velho,11.0,RO,481.33387400980763,504.93291230602676,503.4098159509203,514.7700867597133,622.0498015156983
17,1100254.0,Presidente Médici,11.0,RO,459.061797752809,480.8010752688172,476.2537634408602,470.02134831460677,541.2903225806451
18,1100262.0,Rio Crespo,11.0,RO,450.8357142857143,468.15714285714284,470.09285714285716,478.86428571428576,545.7142857142857
19,1100288.0,Rolim de Moura,11.0,RO,496.20641025641027,512.4050209205021,508.0970711297071,527.5995726495727,598.9958158995815
20,1100296.0,Santa Luzia D'Oeste,11.0,RO,475.0625,502.1375,491.28125,504.390625,695.625
21,1100304.0,Vilhena,11.0,RO,484.7742574257425,516.390238095238,510.9842857142857,519.4259900990099,608.4761904761905
22,1100320.0,São Miguel do Guaporé,11.0,RO,465.88428571428574,480.524358974359,475.8730769230769,500.52142857142854,605.8974358974359
23,1100338.0,Nova Mamoré,11.0,RO,426.4980392156863,456.9858490566038,459.9292452830189,443.07156862745103,461.6981132075472
24,1100346.0,Alvorada D'Oeste,11.0,RO,476.3244444444444,485.495652173913,477.7326086956522,481.38444444444445,625.2173913043479
25,1100379.0,Alto Alegre dos Parecis,11.0,RO,457.3322580645161,467.52058823529416,474.6294117647059,485.31612903225806,528.8235294117648
26,1100403.0,Alto Paraíso,11.0,RO,451.4935483870967,460.5625,455.3,436.6967741935484,461.875
27,1100452.0,Buritis,11.0,RO,470.45,501.3333333333333,488.69247311827957,488.1306818181818,626.4516129032259
28,1100502.0,Novo Horizonte do Oeste,11.0,RO,477.0363636363636,497.68297872340423,490.14255319148936,473.61590909090904,598.2978723404256
